name,ra,dec,dist,mag,ci,spect
HIP 100356,305.295540,-51.791062,24.0096,10.21,1.594,M0
HIP 100490,305.673120,-58.285661,19.3874,10.6,1.455,M
HIP 100923,306.923640,-27.747707,14.8412,11.41,1.504,M3
HIP 100925,306.934350,-30.867845,19.5236,6.61,0.724,G6/G8V
HIP 101150,307.544475,26.84279,23.8152,9.69,1.34,M2
HIP 101180,307.632000,65.44956,7.9955,10.54,1.542,M3
HIP 101345,308.098725,-9.853384,24.4021,5.66,0.689,G3V
HIP 101382,308.215305,41.898478,22.0507,7.08,0.796,G9V
HIP 101516,308.591280,25.063818,15.5473,11.53,-0.097,DA
HIP 101955,309.907110,4.972018,16.7224,7.88,1.241,K5V
HIP 101983,310.010205,-60.548892,24.6609,5.11,0.544,F8V
HIP 101997,310.048875,-23.773867,14.3823,6.36,0.719,G8/K0V
HIP 102040,310.188075,19.935536,20.9468,6.43,0.611,G5V
HIP 102101,310.367130,57.429801,24.2365,10.27,1.36,M0
HIP 102119,310.425900,-22.322358,23.8265,9.83,1.121,K5V
HIP 102141,310.463040,-32.43523,10.6952,10.27,1.55,Mpe
HIP 102186,310.578135,-52.699263,12.1492,8.83,1.324,K7V
HIP 102207,310.644735,-20.076652,20.7383,12.38,-0.199,DAw
HIP 102235,310.738050,-18.918356,17.9469,10.8,1.45,M1:
HIP 102264,310.816680,-29.423909,22.3065,6.95,0.671,G3/G5V
HIP 102300,310.921365,64.281697,21.1327,11.87,1.997,M0
HIP 102332,311.002665,-21.355764,24.9688,9.84,1.191,K7V
HIP 102333,311.009490,-51.920971,24.1721,4.51,0.278,A6:var
HIP 102357,311.091435,19.749686,21.0837,10.29,1.457,M2
HIP 102401,311.266650,44.499073,12.3198,10.79,1.491,M3
HIP 102409,311.289600,-31.340899,9.9098,8.81,1.47,M1Ve
HIP 102422,311.322165,61.838782,14.2653,3.41,0.912,K0IV
HIP 102485,311.523900,-25.270898,14.6778,4.13,0.426,F5V
Aljanah,311.552670,33.970256,22.2916,2.48,1.021,K0III
HIP 102766,312.317700,32.284787,24.05,8.25,0.939,K2
HIP 102851,312.543975,29.384115,20.9908,8.32,1.068,K5V
HIP 102870,312.637365,52.899601,22.4165,9.69,1.16,K5
HIP 103039,313.137600,-16.974738,5.7133,11.41,1.653,
HIP 103096,313.332450,62.15439,7.0487,8.55,1.483,M2V
HIP 103256,313.778550,13.176752,22.4165,8.82,1.054,K3V
HIP 103388,314.194185,-10.448504,15.3163,11.38,1.563,M4
HIP 103389,314.197185,-26.296378,21.9684,5.7,0.507,F7V
HIP 103393,314.202210,-4.846973,17.6866,11.87,1.49,M4
HIP 103441,314.355510,22.362729,13.7779,11.98,1.533,M3
HIP 103458,314.417445,-44.129371,22.1386,6.52,0.587,G0V
HIP 103544,314.674560,34.27418,24.1022,11.21,1.741,M2
HIP 103655,315.021825,40.070278,15.2905,10.12,1.52,M3Ve
HIP 103768,315.412815,-32.524476,20.3128,9.37,1.239,K5V
HIP 103800,315.494340,-6.318749,14.3823,11.23,1.527,M3
HIP 103859,315.669390,45.884772,19.4704,7.69,0.97,K2
HIP 103910,315.808830,-56.963432,12.721,12.88,1.653,M4
HIP 104059,316.222530,-16.958865,19.1718,11.45,1.443,M3
HIP 104092,316.332270,7.069298,15.058,8.27,1.119,K5
HIP 104137,316.484955,4.428011,24.9813,12.13,1.548,
HIP 104214,316.721910,38.749415,3.4865,5.2,1.069,K5V
HIP 104217,316.727445,38.742055,3.498,6.05,1.309,K7V
HIP 104239,316.793220,-13.92293,17.5747,7.12,0.901,K1V
HIP 104432,317.322555,-13.302505,12.1684,10.87,1.49,M3
HIP 104436,317.332410,-82.027259,23.8379,6.98,0.619,G3V
HIP 104440,317.340780,-73.172968,19.7668,5.67,0.59,G3IV
HIP 104644,317.956335,-43.613646,14.8038,11.98,1.586,M1:
HIP 104858,318.620055,10.006981,18.4877,4.47,0.529,F5V+...
HIP 104887,318.697755,38.045317,20.3417,3.74,0.393,F1IV
HIP 105038,319.135275,9.393825,16.3881,7.88,1.02,K2
Lacaille 8760,319.315875,-38.867362,3.9462,6.69,1.397,M1/M2V
HIP 105152,319.512390,0.161579,19.8177,8.15,0.99,K2
HIP 105184,319.613400,-43.334649,24.42,6.75,0.637,G5V
Alderamin,319.644450,62.585573,15.0376,2.45,0.257,A7IV-V
HIP 105312,319.940265,-26.35288,17.9695,6.56,0.737,G5V
HIP 105336,320.042520,-67.651563,20.4834,10.9,1.45,
HIP 105341,320.057610,-19.852286,16.2206,9.09,1.34,K5V
HIP 105533,320.610840,10.873761,20.4708,9.91,1.495,M0
HIP 105712,321.168765,-68.227833,20.4207,6.98,0.723,G5V
HIP 105858,321.610575,-65.366198,9.2618,4.21,0.494,F6V
HIP 105905,321.742275,-56.125265,23.0044,8.65,0.924,K3V
HIP 105911,321.755265,-44.808569,23.5073,7.49,0.876,K0V
HIP 105932,321.820230,-6.844282,16.3452,11.09,1.5,M0
HIP 106106,322.403265,17.64329,6.7047,10.33,1.62,M4
HIP 106147,322.511415,-12.51007,18.406,9.11,1.261,K4/K5V
HIP 106231,322.757115,23.335382,24.8016,9.23,1.05,K8
HIP 106255,322.827495,-9.790663,8.2974,11.96,1.703,M4e...
HIP 106400,323.253435,62.002451,23.2396,9.34,1.163,K
HIP 106440,323.391615,-49.009006,4.9537,8.66,1.521,M1V
HIP 106557,323.709060,51.537103,17.9019,12.01,1.8,M:
HIP 106694,324.160860,39.45571,20.9293,10.17,1.433,M0...
HIP 106696,324.171255,-50.845385,14.6199,7.14,0.879,K2V
HIP 106803,324.482460,-63.711927,21.2495,10.63,1.42,M2
HIP 106811,324.501450,27.723743,13.3174,9.83,1.495,
HIP 106972,324.976485,27.612062,24.432,11.62,1.515,M3:
HIP 107022,325.124955,-74.074282,22.0216,7.07,0.755,G8V
HIP 107089,325.368795,-77.390046,21.1999,3.73,1.008,K0III
HIP 107310,326.035650,28.742632,22.237,4.49,0.512,F6V
HIP 107317,326.054130,6.641461,20.8247,12.06,1.522,M3V:
HIP 107346,326.124885,41.597465,19.7394,9.65,1.334,K0
HIP 107350,326.130525,14.771939,17.8859,5.96,0.587,G0V
HIP 107427,326.373945,-21.558525,13.7798,10.95,0.448,
HIP 107522,326.648895,-57.703382,18.6289,8.77,1.322,K7V
Deneb Algedi,326.760165,-16.127286,11.8666,2.85,0.18,A5mF2 (IV)
HIP 107625,327.000105,-40.25608,23.6967,8.62,0.96,K3V
HIP 107649,327.065445,-47.303615,15.9949,5.57,0.601,G2V
HIP 107705,327.272685,-72.102491,16.3159,9.53,1.42,M2Ve
HIP 107711,327.298680,-41.559017,20.4499,11.52,1.57,M6
HIP 107772,327.499305,-41.245039,23.1965,10.56,1.328,M0
HIP 108028,328.272300,20.930517,23.0415,8.18,0.937,K0
HIP 108092,328.495515,41.779029,23.218,10.3,1.333,M2
HIP 108156,328.687575,32.32857,19.9561,7.73,0.911,K0
HIP 108159,328.689165,-46.992734,14.6349,11.99,1.56,M3
HIP 108380,329.359320,8.137209,20.4918,11.02,1.439,M1V:
HIP 108405,329.421735,-51.006163,15.9719,10.36,1.51,M0
HIP 108467,329.600460,75.589058,20.7684,10.56,0.742,M0
HIP 108567,329.883750,-60.932974,23.4522,9.53,1.202,K7
HIP 108569,329.892480,-59.752816,11.9861,9.74,1.479,M2
HIP 108706,330.304560,28.306906,8.9023,11.99,1.718,
HIP 108752,330.454320,16.467452,16.1838,10.65,1.498,M2
HIP 108782,330.542805,1.400227,10.2449,9.17,1.453,M0
HIP 108870,330.832290,-56.785977,3.6224,4.69,1.056,K5V
HIP 108890,330.862575,-50.643959,20.6526,12.09,1.57,M4
HIP 109084,331.463760,-11.914172,22.2222,10.12,1.408,M0
HIP 109176,331.752705,25.345112,11.7261,3.77,0.435,F5V
HIP 109378,332.374440,-7.548654,21.561,6.54,0.773,G0
HIP 109388,332.418105,-4.640729,9.0959,10.41,1.531,M3
HIP 109422,332.536395,-32.548407,18.2782,4.94,0.489,F6V
HIP 109527,332.799630,36.25633,22.899,7.23,0.812,K0
HIP 109537,332.820810,41.015229,22.7376,11.11,1.46,M2
HIP 109555,332.875350,18.426191,11.6171,10.25,1.465,M2
HIP 109638,333.149790,8.55325,14.9611,11.99,1.553,M3
HIP 109812,333.630945,27.855194,20.1045,10.33,1.426,M0
HIP 109821,333.660585,-41.381666,22.0507,6.23,0.648,G5V
HIP 109926,333.975195,54.67289,21.5378,7.5,0.81,K1V
HIP 109980,334.130880,68.339796,23.9981,9.23,1.17,K5
HIP 110109,334.564335,-53.627073,13.7855,5.36,0.614,G1V
HIP 110400,335.429055,-65.525824,18.6393,12.11,1.653,M5
HIP 110443,335.567850,-54.560618,13.5318,8.98,1.329,K7V
HIP 110526,335.871120,32.459432,15.5111,10.7,1.57,M0...
HIP 110534,335.887545,-57.220629,19.1498,10.82,1.47,K
HIP 110640,336.189765,22.55113,21.5843,8.83,1.18,M0
HIP 110649,336.234570,-57.797415,20.5634,5.31,0.665,F9V
HIP 110712,336.462750,-75.015689,23.0468,6.12,0.599,G3IV
HIP 110719,336.484410,-75.01455,18.2849,9.35,1.12,
HIP 110774,336.635550,63.879177,24.777,9.52,1.102,K7
HIP 110778,336.642795,-16.742138,20.202,5.55,0.618,G3V
Kruger 60,336.999630,57.695875,4.001,9.59,1.613,M2V
HIP 110922,337.097580,-25.902137,20.4082,11.97,,
HIP 110951,337.191375,18.931696,22.0167,10.73,1.359,
HIP 110980,337.274430,1.663379,21.3174,10.51,1.431,
HIP 110996,337.313400,-30.018408,16.0617,7.65,1.08,K4V
HIP 111313,338.259255,9.377975,12.7097,10.36,1.501,M0V:
HIP 111391,338.502015,-25.242427,16.0772,11.25,1.494,
HIP 111449,338.673450,-20.708216,22.6809,5.21,0.446,F7V
HIP 111571,339.040335,-0.841682,17.1174,9.98,1.411,K5
HIP 111685,339.374580,39.381011,19.5427,9.41,1.367,M2
HIP 111715,339.444600,-52.873625,21.7391,12.09,,
HIP 111766,339.621135,-65.378505,13.1804,11.5,1.593,
HIP 111802,339.689820,-20.621134,8.6949,9.06,1.466,M0Vpe
HIP 111888,339.961530,4.116115,24.1022,8.48,0.938,K2
HIP 111960,340.180620,-29.67448,13.5501,7.83,1.143,K4/K5V
HIP 111983,340.244475,-46.201997,22.4921,9.14,1.044,K5V
HIP 112117,340.653675,-47.210813,23.6351,5.99,0.584,G0
HIP 112120,340.661340,17.669235,21.0438,11.78,1.501,M3
HIP 112190,340.838760,-6.400821,21.5193,8.11,0.966,K0
HIP 112312,341.241435,-33.250473,23.3427,11.7,1.3,M3
HIP 112325,341.268495,-2.656643,12.5345,9.44,0.66,F8
HIP 112447,341.673240,12.172888,16.2973,4.2,0.502,F7V
HIP 112460,341.707905,44.333991,5.1224,10.29,1.54,M4.5Ve
HIP 112527,341.885805,83.697028,19.6734,7.53,0.867,K2
HIP 112774,342.580950,-7.090107,14.1303,9.86,1.452,K5
HIP 112800,342.656655,34.856057,17.5193,11.72,1.523,
HIP 112870,342.859800,13.969982,21.2811,8.29,0.849,K0
HIP 112909,342.972840,31.754215,14.5391,11.66,1.5,M3.5Ve
HIP 112915,343.002495,57.716911,23.8777,8.01,1.043,K5III
HIP 112978,343.200450,-28.795193,19.6117,11.82,1.533,M:
HIP 113020,343.319655,-14.263701,4.6887,10.16,1.597,M5
HIP 113201,343.863105,-52.302628,24.7893,11.6,1.653,M4
HIP 113229,343.947075,-75.458671,8.6155,10.42,1.485,K
HIP 113244,343.986750,5.755094,24.4559,11.23,1.433,M0V:
HIP 113283,344.100075,-31.565567,7.6092,6.48,1.094,K4Vp
HIP 113296,344.145135,16.553433,6.8451,8.68,1.507,M2:
Helvetios,344.366550,20.768832,15.6079,5.45,0.666,G5V
Fomalhaut,344.412570,-29.622236,7.7036,1.17,0.145,A3V
HIP 113421,344.564760,-2.395385,19.857,6.17,0.744,G8IV
HIP 113576,345.067350,-22.524347,8.2176,7.88,1.379,K5/M0V
HIP 113602,345.139125,-23.952863,20.6398,11.56,1.526,M1
HIP 113605,345.152415,-23.969627,20.1532,11.6,1.51,M2
HIP 113718,345.464760,-3.848734,17.0358,7.48,0.943,K4V
HIP 113829,345.770760,20.918575,24.7158,6.65,0.62,G5V
HIP 113850,345.836940,-49.726122,20.3169,10.65,1.643,M3
HIP 113944,346.124730,66.764384,20.1939,9.86,1.392,M1V:
Lacaille 9352,346.462965,-35.853073,3.2759,7.35,1.483,M2/M3V
HIP 114066,346.519650,63.926211,24.5038,10.87,1.44,M0
HIP 114156,346.779375,-23.159448,20.938,9.62,1.276,K5V
HIP 114233,347.029005,3.328987,15.8579,10.9,1.49,M1V:
HIP 114252,347.081445,-15.409947,22.2816,10.87,1.397,Me
HIP 114361,347.421900,-67.732824,14.9835,8.29,1.201,K5V
HIP 114378,347.487930,14.426551,24.8262,6.54,0.607,G0V
HIP 114379,347.488830,47.958373,23.6798,7.91,0.9,K0Ve
HIP 114385,347.495130,47.959412,24.9813,7.11,0.658,G5
HIP 114411,347.565405,-25.931319,16.0849,11.27,1.566,
HIP 114416,347.585415,-68.838897,20.9424,8.7,1.004,K3V
HIP 114456,347.708745,45.512274,24.3013,6.98,0.75,K0
HIP 114570,348.137400,49.406207,24.5881,4.53,0.302,F0V
HIP 114622,348.316470,57.168355,6.5462,5.57,1.0,K3Vvar
HIP 114719,348.569235,-19.644279,19.8334,10.46,1.449,K7V
HIP 114859,348.982110,-81.37256,22.4618,9.96,1.05,M
HIP 114886,349.075515,30.670207,24.0211,8.07,0.871,K2V
HIP 114924,349.176075,53.213476,20.5044,5.58,0.556,F7V
HIP 114948,349.239885,-62.001198,20.5381,5.64,0.521,F7V
HIP 114954,349.250865,-23.396297,21.3402,10.86,1.395,K7
HIP 114996,349.357470,-58.235734,23.0574,3.99,0.41,F1III
HIP 115058,349.574385,46.289293,24.7586,10.92,1.434,M1
HIP 115064,349.595940,-24.998454,12.0178,11.57,,
HIP 115123,349.772730,-60.520661,19.3986,8.93,1.154,K7V
HIP 115126,349.777770,-13.458552,21.1193,5.2,0.787,G6/G8IV
HIP 115147,349.858890,79.003518,19.2049,7.53,0.893,G9V
HIP 115331,350.401530,44.097883,21.5239,7.36,0.801,K1V
HIP 115332,350.406090,17.29038,10.989,11.7,1.524,M:
HIP 115341,350.435010,45.176057,20.4834,8.12,1.056,K2
HIP 115445,350.770380,-10.764244,19.1241,7.8,0.881,K2V
HIP 115562,351.127275,57.854308,12.9618,10.03,1.465,M2
HIP 115680,351.551505,8.893831,23.2666,10.56,1.461,sdM:
HIP 116003,352.555935,-20.39097,16.2022,11.09,1.5,M2Ve
HIP 116085,352.839975,59.165517,16.9319,6.76,0.839,K2V
HIP 116132,352.967325,19.937259,6.182,10.05,1.19,M6Ve
HIP 116215,353.205795,-16.845641,15.1561,8.59,1.29,K5/M0V
HIP 116317,353.513880,0.179413,13.9782,11.16,1.454,M3
HIP 116384,353.751150,1.605403,19.0259,9.59,1.329,M0
HIP 116416,353.856795,31.161306,23.8095,7.9,0.845,G5
HIP 116491,354.076305,-48.588072,23.0256,10.09,1.37,M0
HIP 116497,354.105780,55.495445,24.888,11.72,1.461,M:
HIP 116613,354.493320,46.199437,23.3318,6.58,0.665,G5
HIP 116645,354.572415,-41.517704,18.6776,11.95,1.551,M3
Errai,354.837300,77.632276,14.1024,3.21,1.031,K1IV
HIP 116745,354.904965,-72.722155,11.4207,7.09,0.989,K3V
HIP 116763,354.963720,-32.743406,18.5701,7.18,0.802,K1V
HIP 116771,354.987660,5.626292,13.7137,4.13,0.507,F7V
HIP 116936,355.544265,-2.576863,22.1043,10.3,1.343,M0
HIP 117059,355.961430,32.546291,17.1262,13.11,1.55,M5
HIP 117081,356.030655,-27.196067,15.7332,9.01,0.535,G:+...
HIP 117197,356.456055,36.255045,19.1791,9.89,1.338,M0
HIP 117226,356.531460,60.465371,18.162,9.75,2.108,
HIP 117383,357.012270,49.015918,16.6113,12.06,1.63,M1
HIP 117473,357.302190,2.401223,5.9776,8.98,1.46,M2V
HIP 117559,357.615990,30.353255,23.9234,9.35,1.226,M0
HIP 117712,358.102995,75.544588,10.8909,6.36,0.977,K3V
HIP 117779,358.285845,29.018074,22.5175,9.75,1.357,
HIP 117828,358.456995,-75.632529,9.993,9.99,1.466,M...
HIP 117886,358.692945,-21.774508,24.2601,10.8,1.431,M0
HIP 117966,358.915755,-6.142573,18.5977,11.14,1.465,
HIP 118008,359.044320,-39.052334,21.9684,8.24,0.973,K3V
HIP 118162,359.528460,50.447677,24.5278,6.72,0.694,G5
HIP 118200,359.636025,7.658646,16.8152,11.78,1.5,M2V:
HIP 118212,359.680545,46.729155,17.5408,9.57,1.355,M0
HIP 118261,359.807130,-26.048746,22.9938,8.69,1.042,K3/K4V
,0.667185,-34.226836,13.2979,14.9,0.46,DC9
,1.168470,-40.705153,9.5969,12.84,1.63,M3.5
,1.414395,45.811586,11.7509,9.02,1.45,M0.5 V
,1.559160,58.437504,20.284,7.2,0.78,dG8
,1.682325,-7.539302,4.6992,13.75,1.98,M5-5.5
,1.855995,29.242444,18.6916,14.18,1.49,m
,1.994385,8.006092,22.7273,13.07,1.52,M3.5
,2.099040,-57.088906,13.5135,12.07,1.54,M4
,2.225625,20.840034,10.6383,13.54,,m
,3.065145,50.423483,11.0254,14.36,0.42,DA8
,3.420960,80.665318,16.3934,17.4,,m
,3.554085,-13.183654,19.685,15.9,0.58,DC8
,3.907290,-29.768356,17.8571,14.31,1.57,dM3.4
,3.952500,13.555642,11.5875,12.58,1.66,dM3.5
,3.965985,-67.99749,20.0,10.95,,m
,3.928950,-67.990813,20.0,12.5,,m
,4.064100,19.864002,15.2672,13.22,1.6,M4.5
,4.089360,15.92158,23.0947,14.8,,m
,4.237290,20.064845,22.2222,13.77,,m
,4.232595,5.124112,17.6678,13.79,1.62,m
,4.367385,-8.740423,21.4592,12.49,1.57,M0
,4.577400,44.023502,3.568,11.06,1.79,M6 Ve
,4.722540,27.81457,19.2308,13.86,,m
,5.118780,33.087264,12.5156,16.05,1.98,M6
,5.486730,49.2103,22.2222,12.84,,m
,5.563635,42.611962,23.8095,16.5,0.72,DC9
,5.916375,77.191153,15.6986,14.0,,m
,5.865090,24.303852,16.3666,14.27,1.59,k-m
,6.142905,30.040407,18.8679,14.54,1.67,m
,6.175485,-27.147825,7.5301,15.42,,M5.5
,6.336180,22.88711,18.8679,14.3,,m
,6.771810,49.698191,21.2314,14.25,,m
,7.165110,-6.664612,13.369,12.19,1.48,M4
,7.221480,50.376583,13.1579,13.15,,m
,7.899165,-5.870007,16.2338,12.75,1.64,m
,8.081040,67.236151,10.1276,12.4,,dM3.5
,8.038665,-2.900195,23.2019,17.34,,g-k
,8.147145,7.491764,11.6279,12.7,,m
,8.184660,-63.03121,20.9205,6.0,,A
,8.632605,71.196652,19.802,13.52,1.65,k-m
,8.809890,-3.593069,21.0482,6.4,,G1 V
,8.979480,10.476375,15.625,15.32,1.89,
,9.035790,45.515194,17.2414,11.71,1.54,M2
,9.335685,-24.766593,15.5328,6.4,,G8 V
,9.353925,-20.896011,16.129,14.53,0.45,DA7
,9.640335,51.465443,20.4082,12.6,,m
,9.741675,30.617216,12.5786,11.06,1.53,dM4
,10.234200,31.383573,18.8679,13.83,,m
,10.328865,55.833421,23.0947,14.02,1.55,m
,10.333065,55.835085,23.0947,14.08,0.02,DQ5
,10.356375,-22.350742,9.9206,14.53,0.62,DQ9
,10.572435,-36.716519,18.5185,12.65,1.54,m
,10.898250,28.444334,19.2678,14.52,1.59,m
,10.860090,-41.293663,9.901,13.1,,M4
,11.079900,12.617688,18.1818,12.79,1.49,m
,11.084160,9.126822,12.3457,13.8,,m
,11.251110,-15.272806,13.8889,14.2,,m
,11.450175,-41.909746,16.0231,9.06,1.27,K7 V
,11.728905,-26.134192,25.0,13.98,1.64,M3 :
,11.784870,-23.509054,18.5185,14.4,,m
,11.875635,-36.955203,24.57,15.5,,m
,12.255330,57.817365,5.9527,7.51,1.39,K7 V
,12.191160,27.018997,23.2558,12.38,1.52,M4
,12.238245,44.579575,18.5185,13.06,,m
,12.376410,-61.023608,21.7391,12.16,1.46,M6
,12.636225,24.81669,14.0845,13.3,,m
,12.898395,-22.910033,15.1953,17.3,,m
,13.111395,-41.245505,23.8095,11.92,1.49,M3
,13.576755,69.047731,18.7617,10.4,0.64,
,13.958910,-11.458015,23.2558,15.25,0.35,DA7
,14.081670,-28.13922,22.779,10.96,0.96,
,14.161110,17.459975,17.4216,13.71,1.64,m
,15.205575,66.948776,22.2222,13.28,,m
,15.325515,61.366958,10.8225,10.83,1.57,dM2.5e
,15.235035,-4.449474,16.6667,13.32,1.73,
,15.499260,54.180709,15.1515,15.12,1.84,m
,15.477255,-25.761192,23.8663,11.84,1.23,
,15.819810,62.366819,9.0171,13.66,1.68,M5
,15.804810,31.684057,22.7273,13.64,,m
,15.808620,20.09931,17.094,12.4,,M3.5
,15.958875,5.076747,21.3675,13.96,0.31,DA6
,16.220475,-18.124291,10.0,14.46,1.87,m
,16.402755,28.492361,12.5628,14.8,1.89,m
,17.030925,54.920396,7.5529,11.0,,
,16.944945,34.209245,22.4719,13.35,1.59,M3
,16.907505,22.955479,20.7469,13.6,,M3
,17.072700,-28.806489,13.1579,13.42,1.7,dM5
,17.326770,-24.507478,15.3846,14.52,,m
,17.856585,15.439265,8.4746,14.36,,m
,17.980905,4.918567,15.4799,12.89,1.62,m
,17.989215,4.901888,15.4799,13.91,1.7,m
,18.116280,-1.85684,10.101,14.09,,DAwk
,18.355140,-22.9015,16.129,14.16,1.58,
,18.534045,-36.945208,23.2558,13.85,1.66,dM2.5
,18.592185,-7.909625,24.3843,7.85,0.78,K1 V
,18.745770,-68.819169,21.1149,8.2,,
,19.119825,24.324462,20.6186,15.04,1.84,m
,18.930330,-68.874409,20.4332,7.2,,G5
,20.029785,84.15857,13.6612,14.77,1.79,m
,19.458675,28.671485,25.0,11.56,,M0.5
,19.498905,16.172781,15.674,13.82,0.12,DQ6
,19.844055,-26.403585,24.3902,13.46,,m
,19.963485,-27.446425,25.0,14.2,,m
,20.540550,-26.908201,21.7391,14.85,,m
,20.687715,0.532646,14.4509,13.97,1.76,m
,20.687715,0.532646,14.4509,15.0,,m
,20.694705,-25.804437,22.2222,13.05,,m
,21.401490,9.757924,14.9254,13.13,1.68,dM3.5
,21.352860,-26.013384,18.5185,14.95,0.4,DC7
,23.241135,-24.240173,19.5046,12.77,1.3,m
,23.753625,-29.909152,23.6463,8.0,,K4 V
,23.753625,-29.909152,23.6463,10.4,,M2 V
,24.008790,-26.777629,19.6078,13.33,,m
,24.589860,57.231476,11.0742,11.19,1.39,dM3
,24.496185,-4.995205,12.285,12.84,0.35,DA7
,24.752985,-17.949782,2.6267,12.57,1.85,dM5.5e
,24.752985,-17.949782,2.6267,12.7,,dM5.5e
,24.880185,5.05905,24.3902,12.83,,M5
,25.067310,31.791864,16.3934,13.91,,m
,25.283970,63.813579,13.0378,10.07,0.47,B5
p Eridani,24.945045,-56.19462,8.1466,5.8,0.86,K2 V
,25.958220,-23.853367,22.2222,13.28,,m
,25.747005,-67.298954,12.6582,13.88,0.44,DA7
,26.240175,16.345424,16.3399,14.11,1.67,M3
,26.651535,-8.648957,17.5439,12.99,1.58,M3
,27.954570,64.435033,14.9254,11.37,,dM2
,27.954525,64.4317,14.9254,14.5,,DA6
,27.766770,-6.118806,10.0,14.6,,m
,27.847710,21.39435,17.8571,13.9,,M4
,28.984605,-51.607872,17.4856,10.7,,
,29.802000,3.518118,10.7527,14.0,,m
,30.008415,43.759512,24.3902,13.01,,m
,30.029130,36.662637,25.0,13.93,,m
,30.453450,73.543258,10.5263,14.12,1.9,m
,30.053445,13.05304,4.4683,12.28,1.8,dM8  e
,30.395025,63.770687,10.0,11.03,1.54,M4
,30.197100,-10.354695,23.8095,14.1,,m
,30.560055,10.337364,8.9286,15.61,2.02,m
,30.683745,13.577935,17.2414,14.27,,dM5  :
,30.836070,-21.228423,12.987,11.21,1.46,M3
,31.114455,-1.881711,21.7391,13.9,,m
,31.351680,-28.05345,22.5378,12.8,1.5,M3.5
,31.782540,64.288435,20.8333,14.31,,m
,31.736910,45.186072,18.0832,10.28,1.49,dM0
,31.736910,45.186072,18.0832,14.2,,
,32.220435,49.450521,14.2857,12.47,1.54,M5  :
,36.659535,88.409915,20.4082,12.89,,m
,31.808445,-66.568974,20.4082,11.52,1.53,m
,32.518560,35.430119,22.2717,13.74,1.48,M3
,32.556840,11.535282,11.1111,12.72,,dM4
,32.831265,39.922403,16.8919,14.52,0.33,DZ7
,32.839395,-63.236781,17.8571,12.25,,m
,33.226275,0.004677,16.6667,13.5,,m
,33.750420,17.418407,21.097,14.44,1.62,m+
,33.890010,33.962729,17.2414,13.58,,m
,34.064505,39.857975,22.2222,14.54,0.23,DA6
,33.953715,-12.672858,22.7273,13.0,1.5,M3
,33.942375,-18.239966,22.242,9.1,,K
,34.234995,42.967617,19.6464,16.2,0.72,DC9
,34.129710,13.594943,8.4602,15.79,1.98,m
,34.289415,35.4434,10.352,15.99,,m+
,34.143630,-30.967885,11.3636,13.0,,M4
,34.593570,56.561923,24.3902,8.27,0.92,K1 V
,34.546890,44.26958,22.2222,13.49,1.53,M3
,34.758000,23.881124,21.2766,14.17,,m
,35.103240,37.792268,25.0,12.68,,m
,35.103240,37.792268,25.0,16.7,,k
,35.263320,36.884928,21.5983,14.05,1.68,m
,35.263320,36.884928,21.5983,14.05,,m
,35.254935,36.87995,21.5983,14.26,1.7,m
,35.191215,2.975836,24.3902,14.78,1.69,m
,36.405000,37.543731,19.2308,14.05,,m
,36.941775,4.432258,16.6058,9.5,,K7 V
,37.023660,3.179135,22.1729,17.46,2.06,m
,37.072470,1.442481,23.2558,13.05,,m
,37.258770,-19.978584,18.9036,11.4,,
,37.137360,-20.037599,18.9036,12.85,1.61,M3
,37.847115,57.381226,16.6667,13.21,1.52,M3.5
,38.160015,-14.197209,15.4799,15.76,0.75,DC
,38.246505,7.889341,25.0,8.89,1.15,G5
,38.402385,24.925877,9.7656,12.96,1.7,M4
,38.495145,41.781405,24.3902,13.62,,m
,38.840205,23.565041,20.8333,13.71,1.58,M3  e
,39.114555,55.478396,23.8095,13.22,,m
,39.064650,6.87166,7.2088,11.66,1.6,dM4.5
,39.197430,32.073868,24.3902,13.63,,M3
,39.197430,32.073868,24.3902,13.9,,M3.5
,39.265095,6.901559,20.8333,16.0,,M5  e
,39.372810,0.35665,24.6305,15.16,1.67,m
,39.619830,6.624401,16.9492,15.09,0.44,DA8
,39.822660,7.472607,22.2222,14.27,,m
,39.960315,-34.132674,15.1515,11.75,1.52,m
,41.043255,49.229839,11.2322,10.06,1.48,M1 V
,40.730430,-38.935971,22.2222,13.1,,M3.5
,41.417115,44.953006,21.2766,15.0,,m
,41.559585,-4.987347,16.3934,15.86,1.5,m
,41.644545,16.420875,14.9925,16.86,2.02,M6
,41.626410,-2.45629,20.9644,15.53,0.36,DA7
,42.151230,54.388169,10.3093,15.32,0.93,DC9
,42.037020,27.074291,22.3664,16.5,,m
,42.956580,29.488897,16.129,13.96,,m
,42.962295,6.229375,22.7273,13.19,1.58,dM3
,43.910385,26.873833,22.8781,9.8,1.4,dM0
,43.897830,26.872183,22.8781,13.86,1.58,m
,44.379975,10.792349,21.3675,13.03,1.56,dM4
,44.308305,-24.967438,22.477,8.2,,
,44.541300,-12.883313,22.2222,12.67,1.73,M2.5
,44.076705,-70.367634,23.2558,14.08,0.23,DA6
,44.791395,36.612847,18.8679,13.04,1.52,M3.5
,44.818290,31.774667,25.0,13.41,,m
,45.459585,-16.589769,7.6336,11.8,,M3
,46.168605,61.738477,22.2222,12.6,,M3
,45.918570,-12.840617,20.8333,13.37,,k-m
