name,ra,dec,dist,mag,ci,spect
HIP 56936,175.083600,67.258993,23.3699,12.2,1.447,K4
HIP 56998,175.260930,-44.405189,12.4008,7.77,1.064,K5V
HIP 56997,175.262565,34.201635,9.6117,5.31,0.723,G8Vvar
HIP 57050,175.436475,42.751974,11.1037,11.86,1.503,M5
Noquisi,175.545960,26.70657,10.141,10.67,1.493,M3
HIP 57361,176.393475,-20.353443,19.2604,11.79,1.482,
HIP 57367,176.420070,-64.841517,4.6081,11.5,0.196,DC:
HIP 57443,176.630640,-40.500354,9.2208,4.89,0.664,G3/G5V
HIP 57459,176.678760,-14.014385,19.992,11.68,1.478,M
HIP 57493,176.764485,50.971803,24.5218,9.51,1.252,M0V:p
HIP 57507,176.815965,-30.28651,17.4734,6.48,0.681,G5V
HIP 57544,176.914995,78.69116,5.3516,10.8,1.572,M4
Ross 128,176.934990,0.804563,3.3553,11.12,1.746,M4.5V
Denebola,177.264945,14.57206,10.9999,2.14,0.09,A3Vvar
Zavijava,177.673830,1.764718,10.929,3.59,0.518,F8V
HIP 57802,177.780720,35.272017,8.5852,9.76,1.477,M1V
Groombridge 1830,178.242300,37.718679,9.0917,6.42,0.754,G8Vp
HIP 57959,178.317045,-7.374359,19.5695,11.89,1.54,M4
HIP 58170,178.954395,-38.280364,24.3368,12.01,1.477,
HIP 58321,179.386710,11.82774,24.1838,11.81,1.46,M2:
HIP 58345,179.484540,-27.707043,10.1574,6.99,1.128,K4V
HIP 58451,179.791680,-20.35378,21.0659,7.92,0.974,K2V
HIP 58576,180.185205,-10.446014,12.7632,5.54,0.76,K0IV
HIP 58688,180.554880,-38.008016,22.92,10.52,1.419,M0V
HIP 58910,181.203420,-62.002292,5.5169,7.57,0.626,F0Ib-II
HIP 59000,181.461075,-18.875254,22.0022,9.99,1.336,K5V
HIP 59072,181.720305,-64.61373,19.755,4.14,0.353,F2III
Alchiba,182.103375,-24.728875,14.9365,4.02,0.334,F0IV/V
HIP 59272,182.368890,-11.857064,22.2222,6.81,0.666,G0...
HIP 59280,182.405475,40.252055,24.5278,7.46,0.794,K0V
HIP 59296,182.479500,-46.208392,19.7668,8.46,1.137,K5V
HIP 59378,182.737035,41.057781,21.5796,10.61,1.34,M2V
HIP 59406,182.799030,-19.960573,12.5897,11.67,1.558,
HIP 59514,183.086505,54.485753,15.5207,9.71,1.38,M2
HIP 59616,183.387075,-25.923513,23.4137,11.46,1.491,
HIP 59748,183.787140,48.732625,24.8818,10.55,1.412,M2V
HIP 59750,183.793995,-10.3124,22.3514,6.11,0.47,F5V
Megrez,183.856290,57.032617,24.6853,3.32,0.077,A3Vvar
HIP 59780,183.862680,-31.094089,21.4041,9.74,1.383,K5V
HIP 60303,185.475165,42.133886,15.8529,9.36,1.354,M0V
HIP 60310,185.499345,-41.05924,24.6853,8.54,1.064,K4V
HIP 60398,185.752770,64.030831,18.3352,11.63,1.61,M4
HIP 60444,185.887380,67.188314,12.8966,11.19,,
HIP 60475,185.973135,12.580255,20.9952,10.39,1.442,K5
HIP 60559,186.218625,-18.242288,8.8511,11.28,1.574,M4
HIP 60866,187.131615,-18.297288,24.5942,9.24,1.218,K4V
HIP 60910,187.239960,8.425518,13.1839,11.99,1.668,M:
HIP 60994,187.519905,-13.393184,24.6488,6.37,0.591,G1/G2V
HIP 61053,187.708875,53.076608,21.777,6.2,0.568,F9V
HIP 61094,187.815870,8.810603,13.6463,9.74,1.441,M0:
HIP 61174,188.017650,-16.196007,18.2815,4.3,0.388,F2V
HIP 61291,188.383095,-68.755807,16.176,7.13,0.836,K0V
Chara,188.436165,41.35748,8.4395,4.24,0.588,G0V
HIP 61413,188.752950,9.82849,18.2849,11.4,1.429,M4
HIP 61451,188.889930,-34.881917,21.427,7.84,1.024,K4V
HIP 61495,188.993490,-45.939096,18.9861,11.09,1.482,M1
HIP 61629,189.469140,-52.001477,9.6918,10.65,1.47,M3
HIP 61706,189.718560,11.696165,14.3699,11.49,1.475,M4
HIP 61722,189.769140,47.039732,21.7865,12.13,,
HIP 61874,190.193595,-43.566376,7.7809,12.24,1.75,M4
HIP 61901,190.276995,15.376664,14.1784,7.91,1.109,K2
Porrima,190.415175,-1.449375,11.685,2.74,0.368,F0V+...
HIP 61946,190.435275,55.724674,23.3754,8.27,0.955,K3V
HIP 62145,191.061165,51.759302,14.881,7.01,0.936,K3V
HIP 62207,191.247780,39.278916,17.3762,5.95,0.557,G0V
HIP 62229,191.310465,-57.358,20.496,7.82,0.937,K3V
HIP 62374,191.754990,46.62594,20.9336,11.71,,K:...
Gar,191.985975,9.751397,8.3703,11.39,1.563,M4
HIP 62471,192.041715,-24.804569,16.7616,9.9,1.38,K0
HIP 62472,192.044685,-24.806598,20.3832,8.9,1.149,K4/K5V
HIP 62505,192.134610,-15.719473,23.8322,7.93,0.946,K2V
HIP 62512,192.164160,60.319822,24.0442,5.83,0.467,F5V
HIP 62523,192.196125,24.840226,16.9319,6.29,0.703,G7V
HIP 62556,192.263040,66.110181,10.2135,10.94,1.626,M4
HIP 62687,192.681525,-0.768132,10.5708,8.49,1.409,M0.5V
HIP 62951,193.494465,-18.034764,7.5284,8.51,0.497,A2
HIP 63028,193.738530,58.160758,24.1955,9.85,1.169,G5
HIP 63253,194.417895,35.224991,19.2567,10.57,1.423,M0Vvar
HIP 63257,194.433180,-14.463507,24.0327,9.11,1.118,K4V
HIP 63366,194.756535,-9.834085,20.8899,7.54,0.769,K0V
HIP 63480,195.107535,-34.606745,19.7433,10.6,,Mp
HIP 63510,195.194130,12.375723,11.6904,9.76,1.448,M2
HIP 63550,195.333015,-63.19505,16.9664,10.92,1.49,
HIP 63618,195.586260,-26.787109,17.8063,8.35,1.216,K4V
HIP 63742,195.956895,-5.161812,21.692,7.69,0.847,G5V
HIP 63762,196.033980,87.115432,24.7402,8.77,1.102,K0
HIP 63833,196.240710,-52.442923,15.8655,9.05,1.362,K8V
HIP 63882,196.374675,37.136288,24.6914,11.74,1.637,M4
HIP 63894,196.422450,49.471939,22.3664,9.26,1.168,K0
HIP 63942,196.564170,20.729246,18.8041,9.44,1.29,M0
HIP 64048,196.896165,34.401684,24.1138,9.28,1.178,K3III
Diadem,197.497035,17.529431,17.8253,4.32,0.455,F5V
HIP 64394,197.968560,27.878183,9.1291,4.23,0.572,G0V
HIP 64408,198.013515,-37.803022,20.6697,4.85,0.693,G3V
HIP 64457,198.182445,-2.26504,20.5002,7.56,0.93,K0
HIP 64550,198.467715,-45.1858,24.42,6.93,0.643,G2V
HIP 64583,198.563670,-59.103235,18.1984,4.9,0.489,F7IV
HIP 64690,198.872310,-87.560682,24.57,7.11,0.71,G5IV-V
HIP 64792,199.193820,9.424156,17.5593,5.19,0.585,G0Vs
HIP 64797,199.212645,17.017182,11.0717,6.49,0.926,K2V
HIP 64880,199.493355,36.299133,21.5564,11.28,1.356,M2V:
HIP 64924,199.601445,-18.311196,8.5551,4.74,0.709,G5V
HIP 65011,199.889760,35.110155,13.2661,9.48,1.47,M0
HIP 65012,199.894380,35.107044,15.6104,12.03,1.47,M3
HIP 65016,199.917330,33.346526,16.9895,10.62,1.469,M2
HIP 65026,199.940130,47.778029,10.7066,8.48,1.469,K0
HIP 65083,200.103915,-1.657507,21.5424,11.6,1.51,
HIP 65109,200.149440,-36.712295,18.0213,2.75,0.068,A2V
HIP 65143,200.241630,34.278944,16.0436,10.62,1.512,M0
HIP 65269,200.642055,-22.952088,17.2801,8.34,0.667,G1/G2V
HIP 65327,200.846805,57.906147,24.7831,9.69,1.262,M0V
HIP 65343,200.886765,29.237481,18.8218,8.88,1.321,K5
HIP 65352,200.913150,2.723325,15.4488,7.06,0.78,G5
HIP 65355,200.920185,2.725278,16.1421,7.35,0.869,G5
HIP 65515,201.440160,56.970493,21.5936,7.29,0.804,G9IV-V
HIP 65520,201.453675,-28.373989,16.7448,11.04,1.522,M
HIP 65530,201.500580,63.261275,21.1685,6.5,0.739,G6V
HIP 65669,201.974910,-26.950403,21.0837,11.76,1.515,
HIP 65714,202.087830,-2.360283,13.8889,11.23,1.539,M4+...
HIP 65721,202.107555,13.778787,17.9856,4.97,0.714,G5V
HIP 65859,202.499070,10.377162,7.6558,9.05,1.493,M1V
HIP 65877,202.556865,-8.574859,17.3762,12.31,0.026,DA
HIP 66077,203.185770,16.810847,12.76,11.38,1.54,M4Ve
HIP 66125,203.331060,-77.573501,17.9276,9.31,0.914,G
HIP 66147,203.385015,8.586764,19.0694,7.98,1.026,K0
HIP 66193,203.513610,33.228393,22.3614,9.19,1.08,K5IV
